active_branches,canonical_declining_slots,canonical_high_slots,declining_node,energy_difference_j,equal_cap,high_node,identity_classification,inverse_allocation_l1,inverse_declining_slots,inverse_high_slots,inverse_local_argmax_agreement,inverse_marginal_q_mae,inverse_projected_allocation_agreement,inverse_projected_allocation_disagreement,kind,optimizer_seed,probe_index,raw_allocation_l1,raw_local_argmax_agreement,raw_marginal_q_mae,raw_projected_action_agreement,round,seed,target_rank
26,0,0,58,0.0,True,55,tie,2.0,0,0,0.9230769230769231,0.028361883014440536,0.9230769230769231,0.07692307692307693,targeted_swap,2299,1,2.0,1.0,0.003830298315733671,0.9230769230769231,2,2300,0
26,0,0,58,0.0,True,55,tie,2.0,0,0,0.9230769230769231,0.0888155922293663,0.9230769230769231,0.07692307692307693,targeted_swap,2299,2,2.0,1.0,0.06600233167409897,0.9230769230769231,3,2300,0
31,0,1,78,0.0,True,80,fixed_branch_identity,4.0,1,0,0.967741935483871,0.031596481800079346,0.8709677419354839,0.12903225806451613,targeted_swap,2299,3,2.0,0.967741935483871,0.0277149248868227,0.9354838709677419,4,2300,0
26,0,0,5,0.00017245293939199824,True,93,tie,0.0,0,0,0.8846153846153846,0.07988511770963669,1.0,0.0,targeted_swap,2299,4,0.0,0.9615384615384616,0.06057551130652428,1.0,5,2300,0
25,0,1,94,0.0,True,86,fixed_branch_identity,2.0,1,0,0.88,0.08350346982479095,0.92,0.08,targeted_swap,2299,5,0.0,0.96,0.018754780292510986,1.0,6,2300,0
26,0,0,13,0.00032821787632947297,True,42,tie,2.0,0,0,0.9230769230769231,0.12657229602336884,0.9230769230769231,0.07692307692307693,targeted_swap,2299,6,2.0,1.0,0.08866339176893234,0.9230769230769231,7,2300,0
58,0,0,82,0.0,True,94,tie,0.0,0,0,1.0,0.008901333436369896,1.0,0.0,targeted_swap,2299,7,0.0,1.0,0.00856862124055624,1.0,8,2300,0
58,1,0,63,1.3605900834545714e-05,True,28,fixed_branch_identity,2.0,0,1,0.9655172413793104,0.00933042075484991,0.9655172413793104,0.034482758620689655,targeted_swap,2299,8,0.0,1.0,0.0033505975734442472,1.0,9,2300,0
64,0,0,28,4.6294702025717616e-05,True,56,tie,2.0,0,0,0.96875,0.028913885354995728,0.96875,0.03125,targeted_swap,2299,9,2.0,1.0,0.02353297732770443,0.96875,10,2300,0
24,,,,,,,fixed_branch_identity,10.0,,,0.4583333333333333,0.4767266511917114,0.5833333333333334,0.4166666666666667,random,3299,0,2.0,0.9166666666666666,0.062358155846595764,0.9166666666666666,0,2300,0
26,,,,,,,fixed_branch_identity,16.0,,,0.5,0.4410700798034668,0.38461538461538464,0.6153846153846154,random,3299,1,4.0,0.8076923076923077,0.11646406352519989,0.8461538461538461,2,2300,0
26,,,,,,,fixed_branch_identity,12.0,,,0.34615384615384615,0.4417458474636078,0.5384615384615384,0.46153846153846156,random,3299,2,2.0,0.8076923076923077,0.07805206626653671,0.9230769230769231,3,2300,0
31,,,,,,,fixed_branch_identity,14.0,,,0.6774193548387096,0.37503474950790405,0.5483870967741935,0.45161290322580644,random,3299,3,6.0,0.6774193548387096,0.22885017096996307,0.8064516129032258,4,2300,0
26,,,,,,,fixed_branch_identity,10.0,,,0.46153846153846156,0.38024234771728516,0.6153846153846154,0.38461538461538464,random,3299,4,4.0,0.8461538461538461,0.07668058574199677,0.8461538461538461,5,2300,0
25,,,,,,,fixed_branch_identity,14.0,,,0.48,0.4242500960826874,0.44,0.56,random,3299,5,2.0,0.92,0.08928081393241882,0.92,6,2300,0
26,,,,,,,fixed_branch_identity,10.0,,,0.46153846153846156,0.3574426472187042,0.6153846153846154,0.38461538461538464,random,3299,6,2.0,0.8461538461538461,0.08211112767457962,0.9230769230769231,7,2300,0
58,,,,,,,fixed_branch_identity,20.0,,,0.5517241379310345,0.4298307001590729,0.6551724137931034,0.3448275862068966,random,3299,7,0.0,0.9655172413793104,0.03281243517994881,1.0,8,2300,0
58,,,,,,,fixed_branch_identity,22.0,,,0.46551724137931033,0.43821901082992554,0.6206896551724138,0.3793103448275862,random,3299,8,2.0,0.9482758620689655,0.05469837039709091,0.9655172413793104,9,2300,0
64,,,,,,,fixed_branch_identity,20.0,,,0.59375,0.42249664664268494,0.6875,0.3125,random,3299,9,2.0,0.90625,0.054216623306274414,0.96875,10,2300,0
24,,,,,,,fixed_branch_identity,12.0,,,0.4583333333333333,0.49147626757621765,0.5,0.5,random,3299,10,2.0,1.0,0.06986965239048004,0.9166666666666666,11,2300,0
33,,,,,,,fixed_branch_identity,12.0,,,0.6666666666666666,0.35507556796073914,0.6363636363636364,0.36363636363636365,random,3299,11,2.0,0.9696969696969697,0.027394112199544907,0.9393939393939394,13,2300,0
24,,,,,,,fixed_branch_identity,12.0,,,0.5,0.47366565465927124,0.5,0.5,random,3299,12,2.0,0.7916666666666666,0.11988851428031921,0.9166666666666666,14,2300,0
31,,,,,,,fixed_branch_identity,14.0,,,0.6451612903225806,0.36689668893814087,0.5483870967741935,0.45161290322580644,random,3299,13,0.0,0.9032258064516129,0.029282037168741226,1.0,15,2300,0
35,,,,,,,fixed_branch_identity,14.0,,,0.4857142857142857,0.34353384375572205,0.6,0.4,random,3299,14,2.0,0.9428571428571428,0.0683046281337738,0.9428571428571428,16,2300,0
28,,,,,,,fixed_branch_identity,14.0,,,0.35714285714285715,0.32808127999305725,0.5,0.5,random,3299,15,0.0,1.0,0.03707289695739746,1.0,17,2300,0
36,,,,,,,fixed_branch_identity,18.0,,,0.6388888888888888,0.38017737865448,0.5,0.5,random,3299,16,6.0,0.8611111111111112,0.1115100309252739,0.8333333333333334,18,2300,0
50,,,,,,,fixed_branch_identity,22.0,,,0.5,0.3463209569454193,0.56,0.44,random,3299,17,2.0,0.94,0.04997310787439346,0.96,19,2300,0
