study,seed,policy,delivered,generated,energy_uj,delivery_pp,packets_per_j
fixed,9700160,prefix,88,576,2788128,15.277777777777779,31.562395987558677
fixed,9700160,selective,64,576,2792736,11.11111111111111,22.91659505230713
fixed,9700160,whole,72,576,2643936,12.5,27.232126647543662
fixed,9700161,block,90,1248,2675528,7.211538461538462,33.63822019429436
fixed,9700161,prefix,90,1248,2789048,7.211538461538462,32.269075326061085
fixed,9700161,selective,72,1248,2790820,5.769230769230769,25.798869149568944
fixed,9700161,whole,72,1248,2643936,5.769230769230769,27.232126647543662
fixed,9700162,block,104,576,2652576,18.055555555555557,39.20717068992557
fixed,9700162,prefix,104,576,2790080,18.055555555555557,37.27491684826242
fixed,9700162,selective,74,576,2785568,12.847222222222221,26.565497593309516
fixed,9700162,whole,72,576,2635312,12.5,27.32124317727844
fixed,9700163,block,120,480,2687480,25.0,44.651495080893625
fixed,9700163,prefix,120,480,2782824,25.0,43.121663461289685
fixed,9700163,selective,84,480,2777752,17.5,30.240280629804246
fixed,9700163,whole,96,480,2643936,20.0,36.309502196724885
guard,9700200,block,116,864,2698944,13.425925925925926,42.97977282966968
guard,9700200,guard,116,864,2790824,13.425925925925926,41.56478516739143
guard,9700200,prefix,116,864,2790824,13.425925925925926,41.56478516739143
guard,9700200,selective,80,864,2789552,9.25925925925926,28.67844012228487
guard,9700200,whole,72,864,2643936,8.333333333333334,27.232126647543662
guard,9700201,block,104,864,2664850,12.037037037037036,39.02658686229994
guard,9700201,guard,104,864,2793952,12.037037037037036,37.22325938312469
guard,9700201,prefix,104,864,2793952,12.037037037037036,37.22325938312469
guard,9700201,selective,72,864,2776392,8.333333333333334,25.932937423821997
guard,9700201,whole,72,864,2622376,8.333333333333334,27.45601698612251
guard,9700202,block,76,480,2640216,15.833333333333334,28.785523608674445
guard,9700202,guard,76,480,2779636,15.833333333333334,27.341709490019557
guard,9700202,prefix,76,480,2784584,15.833333333333334,27.29312529268286
guard,9700202,selective,64,480,2784052,13.333333333333334,22.988076372136728
guard,9700202,whole,64,480,2622376,13.333333333333334,24.405348432108898
guard,9700203,block,100,384,2621284,26.041666666666668,38.149242890125606
guard,9700203,guard,100,384,2743444,26.041666666666668,36.45053443773593
guard,9700203,prefix,100,384,2743444,26.041666666666668,36.45053443773593
guard,9700203,selective,64,384,2743992,16.666666666666668,23.32368315942612
guard,9700203,whole,84,384,2618064,21.875,32.08477714830501
guard,9700204,block,128,960,2691584,13.333333333333334,47.55564009891574
guard,9700204,guard,128,960,2782872,13.333333333333334,45.99564766184
guard,9700204,prefix,128,960,2783008,13.333333333333334,45.9933999471076
guard,9700204,selective,96,960,2780328,10.0,34.528300258099044
guard,9700204,whole,112,960,2643936,11.666666666666666,42.36108589617903
guard,9700205,block,88,768,2669472,11.458333333333334,32.96532048285204
guard,9700205,guard,88,768,2785384,11.458333333333334,31.59348944346632
guard,9700205,prefix,88,768,2785384,11.458333333333334,31.59348944346632
guard,9700205,selective,48,768,2791160,6.25,17.197151005316787
guard,9700205,whole,48,768,2643936,6.25,18.154751098362443
guard,9700206,block,112,672,2639320,16.666666666666668,42.43517269599746
guard,9700206,guard,112,672,2785944,16.666666666666668,40.201813101770895
guard,9700206,prefix,112,672,2785944,16.666666666666668,40.201813101770895
guard,9700206,selective,96,672,2789928,14.285714285714286,34.40949013737989
guard,9700206,whole,80,672,2626688,11.904761904761905,30.456605428585355
guard,9700207,block,136,960,2675584,14.166666666666666,50.830024398411716
guard,9700207,guard,136,960,2780032,14.166666666666666,48.92030019798334
guard,9700207,prefix,136,960,2780032,14.166666666666666,48.92030019798334
guard,9700207,selective,96,960,2787024,10.0,34.445343850644996
guard,9700207,whole,128,960,2643936,13.333333333333334,48.412669595633176
guard,9700208,block,112,480,2649088,23.333333333333332,42.27870119829919
guard,9700208,guard,112,480,2791968,23.333333333333332,40.11507295212553
guard,9700208,prefix,112,480,2791968,23.333333333333332,40.11507295212553
guard,9700208,selective,88,480,2786768,18.333333333333332,31.57779908481797
guard,9700208,whole,112,480,2626688,23.333333333333332,42.639247600019495
